tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-26 00:00:00,14:00:00,DAN1,3,Hvidovre,Vendsyssel,3 - 0,3 - 1,1.49,3.64,3.58,2.02,2.09,3.97,1.43,1.91,0.0,0.0,1.49,1.33,2.1,3.86,0.0,1.95,1.4,1.3,2.2,4.25,1.87,3.0,9.18
2024-10-26 00:00:00,08:30:00,HAZ,2,Japonya (K),Güney Kore (K),3 - 0,4 - 0,1.08,4.91,10.45,0.0,0.0,0.0,2.07,1.35,0.0,0.0,2.14,0.0,0.0,3.54,1.06,1.83,1.48,1.24,2.38,3.84,1.83,3.19,10.85
2024-10-26 00:00:00,14:00:00,NOR3,3,Kjelsas,Strommen,0 - 3,1 - 4,1.57,3.56,3.27,2.57,2.08,2.83,1.45,1.86,1.05,0.0,1.43,1.36,2.05,0.0,0.0,2.12,1.32,1.43,1.91,4.55,1.91,2.87,8.11
2024-10-26 00:00:00,17:00:00,İZL,3,Kr Reykjavik,Hk Kopavogur,3 - 0,7 - 0,1.72,3.65,2.71,2.11,2.41,2.97,1.12,2.98,1.08,0.0,1.34,1.68,1.59,0.0,0.0,3.11,1.11,1.84,1.46,8.75,2.39,2.36,3.89
2024-10-26 00:00:00,17:00:00,İNFAT,3,Macclesfield,Ashton United,4 - 0,7 - 1,1.26,4.13,5.24,0.0,0.0,0.0,1.41,1.94,0.0,0.0,1.75,0.0,0.0,4.74,0.0,2.28,1.27,1.45,1.86,5.44,2.0,2.67,6.49
2024-10-26 00:00:00,11:35:00,AVUS,2,Melbourne City,Melbourne Victo,0 - 3,1 - 3,2.46,3.0,2.22,3.0,2.01,2.77,1.46,1.98,1.22,1.09,1.17,1.3,2.36,3.46,1.1,1.78,1.59,1.25,2.57,3.64,1.81,3.32,11.9
2024-10-26 00:00:00,17:00:00,HİNSL,3,Mohammedan,Hyderabad Fc,0 - 3,0 - 4,1.71,3.08,3.16,2.33,1.89,3.76,1.57,1.69,1.05,1.05,1.34,1.23,2.45,2.92,1.13,1.58,1.69,1.13,2.9,3.1,1.78,3.77,16.15
2024-10-26 00:00:00,14:00:00,NOR3,3,Notodden,Vard Haugesund,3 - 0,4 - 0,1.63,3.54,3.04,2.12,2.17,3.43,1.3,2.2,1.05,0.0,1.39,1.41,1.93,0.0,0.0,2.2,1.3,1.41,1.93,5.12,1.96,2.74,7.04
2024-10-26 00:00:00,14:00:00,AL2,2,Schalke,Greuther Furth,1 - 3,3 - 4,1.71,3.19,3.43,2.21,2.11,3.79,1.44,2.01,1.06,1.08,1.41,1.35,2.22,3.8,1.08,1.9,1.5,1.31,2.35,4.05,1.84,3.09,9.95
2024-10-26 00:00:00,14:30:00,ÇEK,3,Slovan Liberec,Slovacko,3 - 0,4 - 0,1.79,2.88,3.13,2.41,1.83,3.77,1.63,1.63,1.05,1.06,1.31,1.23,2.44,2.69,1.17,1.49,1.81,1.1,3.2,2.83,1.77,4.12,19.7
